yes,yes,yes,no,no,1,Polanui,LLHS,,,,PFF,PFF160615,2022,505 Front St,2016-06-15,07:37,,,,,,,,,,PFF160615,26.7,27.8,6.27,94.7,8.05,2.89,2.89,2.89
yes,yes,yes,no,no,1,Polanui,LLHS,,,,PLH,PLH160615,2023,Lindsey Hale,2016-06-15,08:28,,,,,,,,,,PLH160615,26.8,28.1,6.57,99.6,7.99,2.8,2.8,2.8
yes,yes,yes,no,no,1,Polanui,LLHS,,,,PLT,PLT160615,2024,Lahaina Town,2016-06-15,08:59,,,,,,,,,,PLT160615,27.2,28.2,6.72,102.4,8.09,2.91,2.91,2.91
yes,yes,yes,no,no,1,Polanui,LLHS,,,,OSF,OSF160615,2027,Olowalu Pier,2016-06-15,10:42,,,,,,,,,,OSF160615,27.4,29.6,6.94,106.1,8.11,1.19,1.19,1.19
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PFF,PFF160629,2022,505 Front St,2016-06-29,07:43,,,,,,,,,,PFF160629,27,30.1,6.34,96.5,7.98,1.65,1.65,1.65
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PLH,PLH160629,2023,Lindsey Hale,2016-06-29,08:24,,,,,,,,,,PLH160629,27.2,29.1,6.29,96,8.04,3.43,3.43,3.43
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PLT,PLT160629,2024,Lahaina Town,2016-06-29,08:50,,,,,,,,,,PLT160629,27.3,28.9,6.21,95,8.02,1.98,1.98,1.98
yes,yes,yes,no,no,2,Polanui,LLHS,,,,OLP,OLP160629,2072,Launiupoko,2016-06-29,10:04,,,,,,,,,,OLP160629,28.5,29.9,6.6,102.1,8.07,4.53,4.53,4.53
yes,yes,yes,no,no,2,Polanui,LLHS,,,,OSF,OSF160629,2027,Olowalu Pier,2016-06-29,10:39,,,,,,,,,,OSF160629,28,29.3,7.17,111.1,8.1,1.07,1.07,1.07
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PFF,PFF160713,2022,505 Front St,2016-07-13,07:35,,,,,,,,,,PFF160713,26.9,36.2,5.9,90.6,8.04,2.64,2.64,2.64
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PLH,PLH160713,2023,Lindsey Hale,2016-07-13,08:07,,,,,,,,,,PLH160713,27,36,5.49,84.5,8.01,2.01,2.01,2.01
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PLT,PLT160713,2024,Lahaina Town,2016-07-13,08:29,,,,,,,,,,PLT160713,27.4,36,5.39,83.3,8,4.96,4.96,4.96
yes,yes,yes,no,no,3,Polanui,LLHS,,,,OLP,OLP160713,2072,Launiupoko,2016-07-13,09:20,,,,,,,,,,OLP160713,28.1,37.8,6.56,103.6,8.1,2.57,2.57,2.57
yes,yes,yes,no,no,3,Polanui,LLHS,,,,OSF,OSF160713,2027,Olowalu Pier,2016-07-13,09:48,,,,,,,,,,OSF160713,28,37.4,6.98,109.8,8.04,1.86,1.86,1.86
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PFF,PFF160727,2022,505 Front St,2016-07-27,07:28,,,,,,,,,,PFF160727,27.4,34.7,5.9,90.2,8.04,#N/A,#N/A,#N/A
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PLH,PLH160727,2023,Lindsey Hale,2016-07-27,08:05,,,,,,,,,,PLH160727,27.4,35,5.9,90.5,8.02,8.05,8.05,8.05
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PLT,PLT160727,2024,Lahaina Town,2016-07-27,08:28,,,,,,,,,,PLT160727,27.6,35.2,5.65,87,8,3.7,3.7,3.7
yes,yes,yes,no,no,4,Polanui,LLHS,,,,OLP,OLP160727,2072,Launiupoko,2016-07-27,09:09,,,,,,,,,,OLP160727,28.1,35.6,6.52,101.4,8.13,0.88,0.88,0.88
yes,yes,yes,no,no,4,Polanui,LLHS,,,,OSF,OSF160727,2027,Olowalu Pier,2016-07-27,09:39,,,,,,,,,,OSF160727,27.8,35.5,6.89,106.6,8.12,0.98,0.98,0.98
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PFF,PFF160810,2022,505 Front St,2016-08-10,07:26,,,,,,,,,,PFF160810,27,34.6,5.87,89,8.06,0.96,0.96,0.96
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PLH,PLH160810,2023,Lindsey Hale,2016-08-10,07:52,,,,,,,,,,PLH160810,27.3,35,5.53,84.5,8.02,5.5,5.5,5.5
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PLT,PLT160810,2024,Lahaina Town,2016-08-10,08:15,,,,,,,,,,PLT160810,27.5,35.1,5.74,88.1,8.04,4.34,4.34,4.34
yes,yes,yes,no,no,5,Polanui,LLHS,,,,OLP,OLP160810,2072,Launiupoko,2016-08-10,08:56,,,,,,,,,,OLP160810,28.2,35.8,6.57,102.2,8.1,4.02,4.02,4.02
yes,yes,yes,no,no,5,Polanui,LLHS,,,,OSF,OSF160810,2027,Olowalu Pier,2016-08-10,09:19,,,,,,,,,,OSF160810,27.9,35.8,6.78,105.1,8.07,1.45,1.45,1.45
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PFF,PFF160824,2022,505 Front St,2016-08-24,07:32,,,,,,,,,,PFF160824,27.9,35,6.12,94.6,8.05,4.43,4.43,4.43
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PLH,PLH160824,2023,Lindsey Hale,2016-08-24,08:20,,,,,,,,,,PLH160824,28.4,35.2,5.44,85,8.01,25.4,25.4,25.4
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PLT,PLT160824,2024,Lahaina Town,2016-08-24,08:42,,,,,,,,,,PLT160824,28.3,35.7,5.84,91.3,8.03,6.57,6.57,6.57
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PPU,PPU160824,2025,Puamana,2016-08-24,09:13,,,,,,,,,,PPU160824,28.4,35.5,6.44,100.7,8.09,#N/A,#N/A,#N/A
yes,yes,yes,no,no,6,Polanui,LLHS,,,,OLP,OLP160824,2072,Launiupoko,2016-08-24,09:38,,,,,,,,,,OLP160824,28.6,36.1,6.39,100.6,8.13,3.77,3.77,3.77
