yes,yes,yes,no,no,23,R2RN,LLHS,,,,RHL,RHL170623,2001,Honolua Bay,2017-06-23,07:25,,,,,,,,,,RHL170623,25.5,33.3,5.8,85.6,8.08,0.93,0.93,0.93
yes,yes,yes,no,no,23,R2RN,LLHS,,,,RMO,RMO170623,2002,Mokuleia,2017-06-23,08:05,,,,,,,,,,RMO170623,26,32.3,6.56,97.2,8.18,2.18,2.18,2.18
yes,yes,yes,no,no,23,R2RN,LLHS,,,,RFN,RFN170623,2003,Fleming North,2017-06-23,08:40,,,,,,,,,,RFN170623,26.4,33.8,6.44,96.8,8.13,1.4,1.4,1.4
yes,yes,yes,no,no,23,R2RN,LLHS,,,,RON,RON170623,2004,Oneloa Bay,2017-06-23,09:14,,,,,,,,,,RON170623,26.7,34.2,6.72,102,8.2,0.43,0.43,0.43
yes,yes,yes,no,no,23,R2RN,LLHS,,,,RFS,RFS170623,2005,Kapalua Bay,2017-06-23,09:50,,,,,,,,,,RFS170623,26.3,31.7,6.5,96.4,8.08,1.22,1.22,1.22
yes,yes,yes,no,no,23,R2RN,LLHS,,,,RKO,RKO170623,2008,Ka'opala Bay,2017-06-23,10:20,,,,,,,,,,RKO170623,26.7,33.1,6.59,99.2,8.1,8.26,8.26,8.26
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RHL,RHL170714,2001,Honolua Bay,2017-07-14,08:00,,,,,,,,,,RHL170714,26.4,33.8,6.4,96.2,8.13,0.63,0.63,0.63
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RFN,RFN170714,2003,Fleming North,2017-07-14,08:41,,,,,,,,,,RFN170714,26.5,34.3,6.74,101.3,8.15,1.54,1.54,1.54
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RON,RON170714,2004,Oneloa Bay,2017-07-14,09:10,,,,,,,,,,RON170714,26.4,34.6,6.73,101.5,8.16,0.89,0.89,0.89
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RFS,RFS170714,2005,Kapalua Bay,2017-07-14,09:32,,,,,,,,,,RFS170714,27.4,31.4,6.51,97.9,8.08,0.6,0.6,0.6
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RKO,RKO170714,2008,Ka'opala Bay,2017-07-14,09:59,,,,,,,,,,RKO170714,27.3,34.3,5.85,89.4,8.09,1.7,1.7,1.7
yes,yes,yes,no,no,24,R2RN,LLHS,,,,RKV,RKV170714,2074,Kahana Village,2017-07-14,10:25,,,,,,,,,,RKV170714,27.7,33.9,5.31,81.3,8.05,1.83,1.83,1.83
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RHL,RHL170804,2001,Honolua Bay,2017-08-04,08:05,,,,,,,,,,RHL170804,26.7,33.5,5.68,85.2,8.09,1.25,1.25,1.25
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RFN,RFN170804,2003,Fleming North,2017-08-04,08:49,,,,,,,,,,RFN170804,27.3,34.3,6.7,102,8.17,2.89,2.89,2.89
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RON,RON170804,2004,Oneloa Bay,2017-08-04,09:22,,,,,,,,,,RON170804,27.2,34.4,6.75,102.7,8.16,0.66,0.66,0.66
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RFS,RFS170804,2005,Kapalua Bay,2017-08-04,09:50,,,,,,,,,,RFS170804,27.8,33.4,6.49,99.1,8.09,1.03,1.03,1.03
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RKO,RKO170804,2008,Ka'opala Bay,2017-08-04,10:25,,,,,,,,,,RKO170804,27.7,34,6.33,96.8,8.12,4.6,4.6,4.6
yes,yes,yes,no,no,25,R2RN,LLHS,,,,RKV,RKV170804,2074,Kahana Village,2017-08-04,10:48,,,,,,,,,,RKV170804,28.2,34.1,7.08,109.3,8.15,7.57,7.57,7.57
